timestamp,target,rps,avg_latency_ms,replicas
07:56:16,HPA,0.00,0.0,3
07:56:16,SMART,0.00,0.0,1
07:56:26,HPA,0.00,0.0,5
07:56:26,SMART,0.00,0.0,1
07:56:37,HPA,0.00,0.0,5
07:56:37,SMART,0.00,0.0,1
07:56:47,HPA,0.00,0.0,5
07:56:47,SMART,0.00,0.0,1
07:56:57,HPA,0.00,0.0,5
07:56:57,SMART,0.00,0.0,2
07:57:07,HPA,0.00,0.0,5
07:57:07,SMART,0.00,0.0,2
07:57:17,HPA,0.00,0.0,5
07:57:17,SMART,0.00,0.0,3
07:57:27,HPA,0.00,0.0,5
07:57:27,SMART,0.00,0.0,3
07:57:37,HPA,0.00,0.0,5
07:57:37,SMART,0.00,0.0,4
07:57:47,HPA,0.00,0.0,5
07:57:47,SMART,0.00,0.0,5
07:57:57,HPA,0.00,0.0,5
07:57:57,SMART,0.00,0.0,5
07:58:08,HPA,0.00,0.0,5
07:58:08,SMART,0.00,0.0,5
07:58:18,HPA,0.00,0.0,4
07:58:18,SMART,0.00,0.0,5
07:58:28,HPA,0.00,0.0,4
07:58:28,SMART,0.00,0.0,5
07:58:38,HPA,0.00,0.0,3
07:58:38,SMART,0.00,0.0,5
07:58:48,HPA,0.00,0.0,3
07:58:48,SMART,0.00,0.0,5
07:58:58,HPA,0.00,0.0,3
07:58:58,SMART,0.00,0.0,5
07:59:08,HPA,0.00,0.0,3
07:59:08,SMART,0.00,0.0,5
07:59:18,HPA,0.00,0.0,3
07:59:18,SMART,0.00,0.0,5
07:59:28,HPA,0.00,0.0,3
07:59:28,SMART,0.00,0.0,4
07:59:39,HPA,0.00,0.0,3
07:59:39,SMART,0.00,0.0,3
07:59:49,HPA,0.00,0.0,3
07:59:49,SMART,0.00,0.0,2
07:59:59,HPA,0.00,0.0,3
07:59:59,SMART,0.00,0.0,1
08:00:09,HPA,0.00,0.0,3
08:00:09,SMART,0.00,0.0,1
08:00:19,HPA,0.00,0.0,3
08:00:19,SMART,0.00,0.0,1
08:00:29,HPA,0.00,0.0,3
08:00:29,SMART,0.00,0.0,1
08:00:39,HPA,0.00,0.0,3
08:00:39,SMART,0.00,0.0,1
08:00:49,HPA,0.00,0.0,3
08:00:49,SMART,0.00,0.0,1
08:00:59,HPA,0.00,0.0,3
08:00:59,SMART,0.00,0.0,1
